placed,exit,elevation,id,abs_total,category,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE,cw1,cw2,cw3,dance1,dance2,dance3,minimized_rotation,placed_from_left,shorter_direction1,lap,changed_direction,residual1,too_close
350,20,80,#27_20170622,480,both,1,cw,0,105,ccw,1,50,,,,true,false,,65,-415,,false,true,true,true,true,55,false
105,270,80,#28_28062017,155,both,1,cw,0,240,ccw,0,110,,,,true,false,,25,-130,,false,false,false,false,true,130,false
240,305,80,#29_27062017,240,ccw,0,ccw,0,250,,,,,,,false,,,-240,,,false,true,false,false,false,-180,false
125,280,85,#01_20170509,275,both,1,ccw,0,180,cw,0,75,,,,false,true,,-20,255,,false,false,true,false,true,-75,false
75,45,85,#09_20170529,75,ccw,0,ccw,0,30,,,,,,,false,,,-75,,,true,false,true,false,false,-180,false
125,345,85,#10_20170529,125,ccw,0,ccw,0,5,,,,,,,false,,,-125,,,true,false,true,false,false,-180,false
0,330,85,#12_20170529,360,cw,0,cw,1,345,,,,,,,true,,,360,,,false,false,false,true,false,0,true
80,285,85,#13_20170529,440,ccw,0,ccw,1,340,,,,,,,false,,,-440,,,false,false,true,true,false,-180,false
160,275,85,#14_20170529,200,cw,0,cw,0,245,,,,,,,true,,,200,,,false,false,false,false,false,0,false
260,345,85,#15_20170529,100,cw,0,cw,0,215,,,,,,,true,,,100,,,true,true,true,false,false,0,false
135,330,85,#16_20170529,135,ccw,0,ccw,0,20,,,,,,,false,,,-135,,,true,false,true,false,false,-180,false
165,110,85,#17_20170529,195,cw,0,cw,0,165,,,,,,,true,,,195,,,false,false,false,false,false,0,false
265,295,85,#18_20170529,95,cw,0,cw,0,235,,,,,,,true,,,95,,,true,true,true,false,false,0,false
110,255,85,#19_20170529,110,ccw,0,ccw,0,125,,,,,,,false,,,-110,,,true,false,true,false,false,-180,false
330,20,85,#20_20170529,160,both,1,ccw,0,215,cw,0,310,,,,false,true,,-65,95,,false,true,false,false,true,95,false
210,30,85,#21_20170616,570,both,1,ccw,0,160,ccw,1,5,,,,false,false,,-55,-515,,false,true,false,true,true,-25,false
55,205,85,#22_20170616,55,ccw,0,ccw,0,155,,,,,,,false,,,-55,,,true,false,true,false,false,-180,false
145,195,85,#23_20170619,215,cw,0,cw,0,95,,,,,,,true,,,215,,,false,false,false,false,false,0,false
215,185,85,#24_20170616,195,both,1,ccw,0,295,cw,0,105,,,,false,true,,-25,170,,false,true,false,false,true,170,false
205,200,85,#25_20170619,505,both,1,cw,0,10,ccw,0,15,,,,true,false,,150,-355,,false,true,true,false,true,-5,false
325,330,85,#26_22062017,35,cw,0,cw,0,45,,,,,,,true,,,35,,,true,true,true,false,false,0,false
10,300,85,#27_20170622,350,cw,0,cw,0,55,,,,,,,true,,,350,,,false,false,false,false,false,0,false
330,320,85,#28_28062017,30,cw,0,cw,0,40,,,,,,,true,,,30,,,true,true,true,false,false,0,false
270,195,85,#29_27062017,440,both,1,cw,0,220,ccw,0,45,,,,true,false,,265,-175,,false,true,true,false,true,175,false
215,260,90,#01_20170328,595,both,1,ccw,0,40,cw,1,230,,,,false,true,,-45,550,,false,true,false,true,true,-10,false
235,325,90,#04_20170328,615,both,1,ccw,1,240,cw,0,70,,,,false,true,,-425,190,,false,true,false,true,true,-370,false
50,65,90,#05_20170329,70,both,1,cw,0,15,ccw,0,315,,,,true,false,,10,-60,,false,false,false,false,true,60,false
285,345,90,#06_20170329,535,both,1,cw,0,65,ccw,0,195,,,,true,false,,305,-230,,false,true,true,false,true,-130,false
110,255,90,#07_20170329,110,ccw,0,ccw,0,250,,,,,,,false,,,-110,,,true,false,true,false,false,-180,false
120,25,90,#08_20170329,120,ccw,0,ccw,0,185,,,,,,,false,,,-120,,,true,false,true,false,false,-180,false
260,75,90,#09_20170329,260,ccw,0,ccw,0,45,,,,,,,false,,,-260,,,false,true,false,false,false,-180,false
220,330,90,#10_20170329,220,ccw,0,ccw,0,205,,,,,,,false,,,-220,,,false,true,false,false,false,-180,false
240,210,90,#12_20170329,1630,both,1,ccw,1,70,cw,2,45,,,,false,true,,-575,1055,,false,true,false,true,true,-515,false
190,310,90,#13_20170329,530,cw,0,cw,1,125,,,,,,,true,,,530,,,false,true,true,true,false,0,false
285,325,90,#14_20170329,75,cw,0,cw,0,225,,,,,,,true,,,75,,,true,true,true,false,false,0,false
140,340,90,#15_20170329,450,both,1,cw,0,45,ccw,0,110,,,,true,false,,155,-295,,false,false,false,false,true,-65,false
215,335,90,#16_20170329,215,ccw,0,ccw,0,120,,,,,,,false,,,-215,,,false,true,false,false,false,-180,false
305,85,90,#17_20170330,125,both,1,ccw,0,15,cw,0,105,,,,false,true,,-35,90,,false,true,false,false,true,90,false
90,80,90,#18_20170330,670,both,1,ccw,1,280,cw,0,210,,,,false,true,,-380,290,,false,false,true,true,true,-470,false
315,310,90,#19_20170330,75,both,1,ccw,0,115,cw,0,175,,,,false,true,,-15,60,,false,true,false,false,true,60,false
255,310,90,#20_20170330,255,ccw,0,ccw,0,250,,,,,,,false,,,-255,,,false,true,false,false,false,-180,false
320,290,90,#21_20170330,630,both,2,ccw,0,30,cw,1,185,ccw,0,85,false,true,false,-15,515,-100,false,true,false,true,true,55,false
330,25,90,#22_20170330,70,both,1,ccw,0,220,cw,0,270,,,,false,true,,-20,50,,false,true,false,false,true,50,false
